recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0,1.0729766295629275
6,165.77,0,1,Urban,0,Web,Buy One Get One,1,1.9599325122409827
3,101.61,0,1,Surburban,1,Phone,No Offer,0,1.438235785522494
8,52.64,0,1,Surburban,1,Web,No Offer,0,1.2386081578501256
6,466.29,1,0,Urban,1,Multichannel,Discount,0,0.7534349256289273
3,100.85,1,0,Urban,1,Phone,Discount,0,0.7837249916013047
3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,1.1306208738394194
2,770.58,0,1,Surburban,1,Phone,Discount,0,1.3690703594003204
3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0,0.9555626235334763
3,133.51,1,0,Urban,0,Web,Discount,0,0.7591154208563875
8,31.52,0,1,Surburban,0,Web,Discount,0,0.877929696277824
1,47.44,0,1,Urban,0,Phone,Buy One Get One,0,0.8615481536273375
1,106.27,0,1,Surburban,0,Web,Buy One Get One,0,0.11126381962575138
11,215.46,0,1,Urban,0,Web,Buy One Get One,0,1.0517656314768795
11,189.25,0,1,Urban,1,Phone,No Offer,0,0.5275668738212933
10,108.12,1,0,Urban,0,Web,Buy One Get One,0,1.1024094271142943
8,66.14,1,0,Surburban,1,Phone,No Offer,0,0.9214547415582609
8,98.56,1,0,Surburban,1,Web,Buy One Get One,0,0.9330766636139992
6,129.14,1,0,Surburban,0,Web,Buy One Get One,0,1.3667681548560973
2,493.17,0,1,Surburban,0,Web,Buy One Get One,0,0.983757793742771
11,146.04,0,1,Surburban,1,Phone,Discount,0,0.8454693538290476
12,29.99,0,1,Urban,1,Web,No Offer,0,0.7404239207495327
2,66.6,1,0,Urban,1,Phone,Buy One Get One,0,1.4094372940981763
12,129.73,1,0,Surburban,0,Web,Buy One Get One,0,1.223937830187595
4,54.41,0,1,Urban,1,Phone,Buy One Get One,0,0.9406688875377303
9,1172.42,1,1,Surburban,1,Web,Discount,0,1.1054553655602093
5,244.34,0,1,Urban,1,Web,Discount,0,0.885483414598279
2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,0.9491371393177723
4,29.99,0,1,Urban,1,Web,Buy One Get One,0,0.4800772968173257
9,151.01,1,0,Surburban,0,Web,No Offer,0,0.3999962951900121
11,35.43,1,0,Urban,1,Phone,Discount,0,1.4248250972577217
5,84.17,1,0,Urban,1,Web,Buy One Get One,0,0.8671287589021335
3,313.6,0,1,Surburban,0,Phone,No Offer,0,0.6118873944231307
1,117.27,0,1,Rural,0,Phone,Discount,0,1.5610979219684615
5,29.99,0,1,Surburban,0,Web,No Offer,0,-0.03169020034491199
3,1167.93,1,1,Rural,1,Web,Buy One Get One,0,0.6622036500307272
3,683.2,1,1,Rural,1,Multichannel,No Offer,0,1.045839570699658
1,110.07,0,1,Urban,0,Web,Discount,0,1.3760638607243596
1,102.94,1,0,Urban,0,Web,Buy One Get One,0,0.7855534207725171
2,29.99,0,1,Urban,0,Web,Discount,0,0.22699261637333967
11,160.04,1,0,Rural,0,Web,Discount,0,0.844248999362546
1,418.68,0,1,Surburban,0,Web,No Offer,0,1.626276098620321
11,316.23,1,0,Urban,1,Phone,Discount,0,1.3857178245463526
12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0,1.218790086885698
9,329.96,0,1,Surburban,1,Phone,No Offer,0,1.6744936970040927
7,185.73,1,0,Surburban,0,Phone,Discount,0,1.3063928829005669
11,52.08,0,1,Urban,0,Web,Buy One Get One,0,1.1509742360645316
1,616.73,0,1,Urban,1,Web,Discount,0,0.9103513703892401
9,123.39,1,0,Urban,0,Phone,Buy One Get One,0,0.8349963661197952
3,249.71,1,0,Surburban,0,Phone,No Offer,0,1.221156065241517
2,46.09,0,1,Urban,0,Web,No Offer,0,1.5979581375876668
8,48.87,1,0,Surburban,1,Web,Discount,0,1.4210079627059935
10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0,0.8321935375473967
4,270.24,1,0,Urban,1,Phone,No Offer,0,1.0488217675812068
9,228.8,1,0,Surburban,0,Multichannel,Discount,1,2.7286850359872847
3,80.18,0,1,Urban,0,Phone,Buy One Get One,0,0.3567868172684503
11,131.76,0,1,Surburban,1,Web,Buy One Get One,1,2.3700780802034584
9,162.59,0,1,Urban,0,Phone,Discount,1,1.5114882090039345
12,87.62,1,0,Urban,1,Phone,Discount,0,0.5251609514693015
3,29.99,1,0,Surburban,0,Phone,Discount,0,1.0652269199465085
3,29.99,0,1,Urban,0,Web,Buy One Get One,0,0.08882308722748422
7,59.96,1,0,Urban,1,Web,Buy One Get One,0,1.6446042014063689
7,78.49,0,1,Rural,0,Web,Buy One Get One,0,0.5290214039405357
2,29.99,0,1,Surburban,0,Phone,Discount,0,0.7313452435164491
7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0,0.34340597564145847
7,229.53,1,0,Surburban,0,Web,Discount,1,2.1006804292411942
1,439.93,1,1,Rural,1,Multichannel,No Offer,0,1.0417418240843324
10,313.67,1,0,Rural,1,Phone,Buy One Get One,1,1.9800805289567094
7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,0.7648439097608373
3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,1.4125722447935338
2,289.55,0,1,Rural,0,Phone,No Offer,1,2.0141334314457437
5,29.99,0,1,Surburban,1,Phone,Discount,1,1.073574130496476
9,274.29,1,0,Surburban,0,Web,No Offer,0,0.9021903892762363
1,293.37,1,0,Surburban,0,Phone,No Offer,0,1.2519254475059851
12,29.99,1,0,Urban,1,Phone,No Offer,0,1.1795801657771845
1,407.09,1,0,Surburban,0,Web,No Offer,0,1.0833536684112375
1,142.4,0,1,Surburban,0,Phone,No Offer,0,1.0053137931362075
1,29.99,0,1,Urban,1,Web,Discount,0,1.132767210616818
12,284.54,1,1,Surburban,0,Web,Discount,0,0.8452318941954088
2,60.2,0,1,Surburban,1,Web,No Offer,0,0.9166189187185638
4,1089.77,1,0,Urban,1,Multichannel,Discount,0,1.164821674425487
7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,0.537284839672264
1,747.31,0,1,Rural,1,Web,Buy One Get One,0,0.8834261811386738
6,136.63,1,0,Urban,1,Web,Buy One Get One,0,0.849217162858652
10,29.99,1,0,Rural,1,Web,Buy One Get One,0,0.9519569559246529
11,54.11,1,0,Urban,1,Web,Buy One Get One,0,0.7911390798649521
1,790.36,1,1,Urban,1,Multichannel,Discount,0,0.4047385489627474
4,36.49,1,0,Urban,1,Web,No Offer,0,0.2403770280082126
12,271.89,1,0,Rural,0,Web,Discount,0,1.2462827965540586
5,399.46,1,0,Surburban,0,Web,Buy One Get One,0,0.24629814936828565
3,39.83,0,1,Urban,1,Phone,Discount,1,2.2265593086928837
10,153.58,1,0,Surburban,0,Phone,Buy One Get One,0,0.524462875627722
5,269.99,1,1,Surburban,0,Phone,Discount,0,0.48392069992552156
2,29.99,1,0,Urban,1,Web,Buy One Get One,0,1.2525895510636553
4,292.61,1,0,Surburban,0,Multichannel,No Offer,0,0.5760547320845029
2,576.02,0,1,Surburban,1,Web,Buy One Get One,0,-0.0489307397262031
6,29.99,1,0,Surburban,0,Web,No Offer,0,0.9289967416083319
9,116.3,1,0,Rural,1,Web,Discount,1,2.2155353442366477
5,29.99,1,0,Surburban,0,Web,No Offer,0,0.702716383133897
3,29.99,0,1,Urban,1,Web,No Offer,0,0.7263238706304878
7,968.65,1,1,Surburban,1,Web,Buy One Get One,0,0.6619633512078353
7,39.78,0,1,Surburban,0,Web,Discount,0,1.5016480097039704
9,311.81,1,0,Urban,0,Multichannel,Buy One Get One,1,2.0349729152459446
1,720.17,1,1,Urban,1,Phone,Discount,0,0.8670919556336333
4,69.08,0,1,Urban,0,Phone,Discount,0,1.1233637793879083
12,80.56,1,0,Urban,0,Web,Buy One Get One,0,1.0707538253039481
1,301.19,1,0,Surburban,1,Web,No Offer,0,0.9570868699002493
10,307.64,0,1,Urban,0,Multichannel,Discount,0,0.7132013667688752
7,481.56,1,0,Surburban,0,Web,Discount,0,1.4067520134240754
10,29.99,0,1,Surburban,0,Web,No Offer,0,1.1248483997587995
1,895.43,0,1,Surburban,1,Web,Buy One Get One,0,0.41923450054533096
5,425.1,1,0,Rural,1,Phone,Discount,0,1.3988265488973797
10,36.28,1,0,Urban,1,Web,No Offer,0,1.6943056251679995
4,413.46,0,1,Rural,0,Phone,Buy One Get One,0,0.586570069841807
7,32.42,1,0,Surburban,0,Phone,No Offer,0,1.036741042102087
10,170.32,1,0,Urban,1,Phone,Buy One Get One,0,0.6136738638974
1,150.93,1,0,Surburban,0,Web,No Offer,0,0.878400750715364
11,223.39,1,0,Rural,1,Phone,Buy One Get One,0,1.4696671338942644
1,506.51,1,0,Urban,1,Multichannel,No Offer,0,1.3211686806556804
8,575.62,1,1,Urban,1,Multichannel,Discount,0,0.6822967971248657
3,29.99,0,1,Surburban,0,Web,Buy One Get One,1,2.3190370986473603
2,145.76,0,1,Surburban,1,Web,No Offer,1,2.4054021055960844
1,29.99,1,0,Rural,1,Phone,Buy One Get One,0,0.4420221160847456
8,428.0,1,0,Surburban,1,Multichannel,No Offer,0,1.7978606808498032
6,604.39,1,1,Urban,1,Phone,No Offer,0,0.6754026581067498
8,171.88,1,0,Surburban,0,Phone,No Offer,0,0.8825718471494745
4,370.86,0,1,Surburban,0,Multichannel,Buy One Get One,0,1.4470621779234527
8,138.62,0,1,Urban,1,Web,Buy One Get One,0,1.092308421952703
7,29.99,1,0,Surburban,1,Web,Discount,0,1.1248108984770508
1,209.98,1,0,Surburban,0,Web,No Offer,1,2.3187760393640864
3,166.0,0,1,Urban,0,Web,No Offer,0,1.288122751107808
10,88.37,0,1,Urban,0,Phone,Buy One Get One,1,1.5311394476362719
8,336.76,0,1,Surburban,0,Phone,Discount,0,1.2885104955212112
1,60.71,0,1,Rural,1,Phone,Buy One Get One,0,1.1355356652835147
4,356.73,0,1,Surburban,0,Web,No Offer,0,1.655099816707688
4,52.12,1,0,Urban,0,Phone,Discount,0,1.0200290561280743
7,406.7,0,1,Surburban,1,Phone,Discount,0,1.4689272718400428
6,277.81,1,0,Surburban,1,Multichannel,No Offer,0,1.195768846148699
1,181.98,0,1,Urban,1,Web,Discount,0,1.0207849379015508
2,112.13,1,0,Urban,1,Web,Buy One Get One,0,0.20876355871943608
5,29.99,0,1,Rural,1,Web,No Offer,0,1.130887667815672
5,439.26,1,0,Surburban,0,Multichannel,Buy One Get One,0,0.8575477239563805
8,64.16,0,1,Surburban,0,Web,Buy One Get One,0,0.6858034829279126
5,29.99,0,1,Surburban,0,Web,No Offer,1,1.9413951318511953
6,29.99,0,1,Urban,1,Web,Discount,0,0.9216929669875346
2,591.95,0,1,Urban,1,Multichannel,Buy One Get One,0,0.4399118505535603
8,130.31,1,0,Surburban,1,Phone,No Offer,0,0.901505421817746
3,65.26,1,0,Urban,0,Web,Discount,1,2.220147047349933
10,132.46,1,0,Urban,0,Phone,Buy One Get One,0,0.7522888538449244
4,225.89,1,1,Rural,1,Web,Buy One Get One,0,1.0203354046385829
2,115.56,0,1,Surburban,1,Web,No Offer,0,1.0841979224321243
8,104.94,0,1,Urban,0,Phone,No Offer,0,1.2495279800610302
7,69.44,1,0,Rural,0,Web,Discount,1,2.537225005541794
10,47.47,0,1,Surburban,0,Phone,Buy One Get One,0,0.9607434391807348
1,215.08,0,1,Surburban,0,Web,Buy One Get One,1,1.5662621205908922
2,224.89,1,1,Urban,0,Multichannel,No Offer,0,0.15336628210205572
9,201.75,1,1,Surburban,0,Phone,Buy One Get One,0,0.9605186570390764
5,354.03,1,0,Urban,0,Web,Discount,0,1.0695448547666262
10,151.43,1,0,Urban,0,Web,No Offer,0,1.0480819943017816
11,120.14,1,0,Urban,0,Web,Discount,0,0.7834723414710881
5,159.41,0,1,Surburban,1,Phone,Buy One Get One,1,1.70693525906669
5,290.86,1,0,Urban,1,Web,No Offer,0,0.7745970301686627
4,87.2,0,1,Surburban,1,Phone,Buy One Get One,1,3.0240503963632674
11,81.06,1,0,Urban,0,Web,Discount,0,1.1361910564197768
10,55.11,1,0,Urban,1,Web,Discount,0,1.2113242104140154
1,513.83,0,1,Surburban,1,Multichannel,Discount,0,1.6707662875558131
4,770.38,0,1,Rural,1,Multichannel,No Offer,0,1.0202631008507341
1,33.5,1,0,Surburban,0,Web,Discount,0,1.0093516728925014
2,56.25,1,0,Surburban,1,Phone,Discount,0,1.0449664511029735
2,1093.92,1,1,Surburban,1,Web,No Offer,0,1.2101986051880231
1,752.8,1,1,Urban,1,Phone,No Offer,0,1.15243791474549
2,199.95,1,0,Surburban,1,Phone,No Offer,0,0.11511394878826142
9,239.91,0,1,Rural,0,Phone,No Offer,0,0.47207655023781014
8,43.16,0,1,Urban,1,Phone,No Offer,0,1.4400469828174676
2,418.81,0,1,Surburban,0,Multichannel,No Offer,0,1.6739752360378088
9,318.52,0,1,Urban,0,Web,Buy One Get One,0,1.1758299936889125
1,109.26,0,1,Surburban,1,Web,Buy One Get One,1,2.1044951260302422
3,67.4,1,0,Surburban,0,Web,Discount,0,0.8697970252389428
9,135.02,1,0,Surburban,1,Web,Buy One Get One,0,0.16523924439493398
10,54.25,0,1,Surburban,0,Web,Discount,0,0.891897807270092
3,55.34,1,0,Surburban,1,Phone,Buy One Get One,0,0.7678648645023237
4,297.8,1,1,Urban,0,Phone,Buy One Get One,1,2.0971645376411154
4,146.49,0,1,Surburban,0,Phone,Buy One Get One,0,1.1886121510266394
7,329.26,0,1,Urban,0,Web,Discount,0,1.010549639609446
1,29.99,1,0,Rural,1,Phone,Discount,0,1.3348974760901768
4,249.61,0,1,Urban,1,Phone,Buy One Get One,0,0.8340287182835646
5,39.52,1,0,Surburban,1,Phone,Discount,0,0.9585218394347177
1,307.58,1,0,Surburban,0,Multichannel,No Offer,0,0.7557010942571403
6,92.32,0,1,Urban,0,Phone,Discount,0,1.1327676533736677
6,464.17,0,1,Surburban,0,Multichannel,Buy One Get One,0,0.8933031071667233
6,29.99,1,0,Surburban,1,Web,Buy One Get One,0,0.7798617655852426
2,435.33,0,1,Surburban,0,Web,Buy One Get One,0,0.512944494693188
10,375.9,0,1,Urban,0,Web,Discount,0,1.0779004701429886
9,29.99,1,0,Urban,0,Web,Discount,0,1.40565918371358
9,220.51,1,0,Urban,0,Multichannel,Discount,0,0.42527455388102764
5,180.28,0,1,Surburban,0,Phone,Buy One Get One,0,1.7104704946868616
6,78.69,0,1,Surburban,0,Phone,Discount,0,0.7662528024818369
2,350.48,1,0,Urban,1,Web,Buy One Get One,0,1.3333518641642526
3,376.14,1,0,Surburban,0,Phone,No Offer,0,1.8156273468753175
1,179.63,1,0,Surburban,0,Phone,Discount,1,2.1989002854605615
6,164.51,1,0,Surburban,0,Phone,Buy One Get One,1,1.8632684978128624
8,59.76,0,1,Urban,1,Web,Discount,0,0.7186965333950794
11,29.99,0,1,Surburban,0,Web,Buy One Get One,0,0.7116111828603389
2,407.64,0,1,Urban,1,Web,Buy One Get One,0,0.951185483010868
1,143.0,0,1,Urban,0,Phone,Buy One Get One,0,1.048996719706932
4,320.17,0,1,Urban,1,Phone,Discount,0,1.5707468222698036
1,103.07,1,0,Surburban,0,Web,Discount,0,0.7901562526166965
10,35.84,1,0,Urban,1,Phone,No Offer,0,1.1529611432732765
3,190.66,0,1,Surburban,1,Web,Buy One Get One,0,1.3825414115614654
2,90.91,1,0,Surburban,0,Web,Discount,0,1.3838329217051395
5,215.03,0,1,Urban,1,Web,No Offer,0,0.673576828496453
1,856.4,0,1,Urban,1,Web,No Offer,0,0.7604183002661484
10,139.83,1,0,Urban,1,Phone,Discount,0,1.456643334951906
10,245.09,1,0,Urban,0,Multichannel,No Offer,0,0.33108647940531455
6,127.2,0,1,Surburban,0,Phone,No Offer,0,1.3355161758013967
1,470.65,1,0,Urban,0,Phone,Discount,0,1.30651937816374
1,59.13,1,0,Urban,1,Web,Discount,0,1.9297205809957116
3,327.1,1,0,Surburban,1,Web,No Offer,0,1.4843795879965065
1,399.72,1,1,Surburban,0,Phone,Discount,1,2.104037120992001
3,29.99,1,0,Urban,0,Phone,No Offer,0,0.8064449540467067
6,398.03,1,1,Surburban,0,Phone,No Offer,0,0.6585978242410229
4,134.24,0,1,Urban,0,Web,Discount,1,1.3269961559715886
10,290.55,0,1,Surburban,0,Web,Discount,0,0.9295007879072343
7,29.99,1,0,Surburban,0,Web,No Offer,0,0.9966370522336503
4,87.69,1,0,Surburban,0,Web,Discount,0,1.1454285948218634
10,335.77,0,1,Rural,0,Multichannel,Buy One Get One,0,1.324223100896018
12,465.37,0,1,Rural,1,Multichannel,No Offer,0,-0.008603031511278836
12,75.26,1,0,Urban,1,Phone,Buy One Get One,0,1.0296531820785175
10,327.18,0,1,Urban,0,Phone,Buy One Get One,0,1.7190351670669872
1,188.89,0,1,Surburban,1,Web,No Offer,0,1.2274423745179261
4,49.8,1,0,Urban,1,Web,Discount,0,1.135137628711613
7,688.51,1,1,Rural,1,Multichannel,Buy One Get One,0,0.6202681794346502
3,229.42,0,1,Rural,0,Multichannel,No Offer,0,0.9983931628095617
1,253.18,0,1,Surburban,0,Multichannel,Discount,0,1.1994014413574936
2,156.4,0,1,Surburban,0,Web,Discount,0,0.94447896032584
2,196.93,0,1,Rural,1,Web,Buy One Get One,0,1.0549533860928975
4,557.47,1,0,Urban,1,Web,No Offer,0,1.3000132549679186
12,177.66,1,0,Surburban,0,Phone,Buy One Get One,1,1.462667085244211
9,29.99,0,1,Surburban,0,Phone,Buy One Get One,0,1.3073517720641437
11,140.07,0,1,Urban,1,Web,Discount,0,1.234467960770509
10,168.04,1,0,Urban,0,Web,No Offer,0,0.7568794301891264
5,173.65,1,0,Urban,0,Web,Buy One Get One,0,1.1179661241642405
4,164.7,1,0,Surburban,0,Phone,No Offer,0,1.106376535401283
2,57.53,1,0,Urban,1,Phone,No Offer,0,1.3278951786369395
10,29.99,1,0,Urban,0,Web,Buy One Get One,0,1.533070765961308
3,188.19,1,0,Urban,0,Phone,Discount,1,1.5837174504877565
10,29.99,0,1,Surburban,0,Web,No Offer,1,1.4373133006505743
1,35.23,1,0,Urban,1,Phone,Discount,0,2.0597471606441005
4,63.22,1,0,Surburban,0,Web,Buy One Get One,0,0.43005549999643844
4,550.59,1,0,Surburban,1,Web,No Offer,0,0.37904213031764566
6,232.94,1,0,Surburban,1,Multichannel,Discount,0,1.5214530828826085
11,91.23,1,0,Urban,0,Web,Buy One Get One,0,0.9383366767243692
2,571.53,1,0,Rural,1,Multichannel,Buy One Get One,0,0.9584329625797717
1,169.31,0,1,Rural,1,Web,Buy One Get One,0,1.7986716421370326
10,205.88,1,0,Urban,0,Phone,No Offer,0,0.8179324658980432
1,1281.48,1,0,Urban,1,Phone,Discount,0,1.2875141076189662
3,29.99,1,0,Urban,0,Web,No Offer,1,2.3145215253240794
3,542.16,1,0,Urban,1,Phone,Discount,1,2.0554682380329368
7,424.6,0,1,Surburban,1,Phone,Buy One Get One,0,1.3274070325969765
6,507.25,0,1,Urban,1,Phone,Discount,0,2.0837736019810693
10,29.99,1,0,Rural,0,Web,Discount,0,0.43329256944478545
2,373.14,0,1,Urban,0,Multichannel,Buy One Get One,1,2.069868850822502
7,60.02,1,0,Surburban,1,Phone,Discount,0,0.787272374193167
1,68.5,0,1,Urban,0,Phone,No Offer,0,0.46131621297276226
11,37.45,0,1,Urban,0,Phone,No Offer,0,0.9649941357936914
2,38.34,1,0,Urban,0,Web,Buy One Get One,0,1.7042843534249932
5,545.73,1,0,Surburban,1,Multichannel,Buy One Get One,0,1.150499252477533
4,70.39,0,1,Surburban,1,Web,No Offer,0,0.5257845261821443
6,98.8,0,1,Rural,1,Phone,Discount,1,2.112980440215833
9,29.99,1,0,Urban,0,Web,Buy One Get One,0,1.3118561599430498
5,556.5,0,1,Rural,1,Web,Discount,0,1.0704446498186722
4,29.99,1,0,Urban,0,Phone,Buy One Get One,0,0.6669913101093253
6,136.26,0,1,Rural,1,Web,No Offer,0,0.8764984327138707
2,936.63,1,0,Urban,1,Phone,Buy One Get One,0,1.2972492533050095
9,172.14,0,1,Urban,0,Phone,Discount,0,0.877538585164793
2,203.52,1,1,Urban,1,Multichannel,No Offer,1,1.7932671612740188
1,422.81,0,1,Urban,0,Phone,Buy One Get One,1,2.320050116037028
10,320.11,0,1,Rural,0,Web,No Offer,0,0.8914455362192483
12,29.99,0,1,Surburban,0,Phone,Buy One Get One,0,1.0764084645739536
8,267.25,0,1,Surburban,0,Phone,Discount,0,1.3028391109579653
11,164.9,0,1,Surburban,0,Phone,Buy One Get One,0,1.3131175080585182
11,265.39,0,1,Surburban,0,Multichannel,Buy One Get One,0,0.5052919731350654
9,744.22,1,0,Rural,1,Web,No Offer,0,0.5623344860870267
3,99.25,1,0,Surburban,1,Phone,No Offer,0,0.585717131044972
5,62.49,1,0,Rural,0,Web,No Offer,0,0.1366816271111041
4,72.66,0,1,Surburban,1,Phone,Discount,0,1.2341837834322085
10,333.65,0,1,Surburban,0,Web,No Offer,0,0.8550170805261064
7,340.18,0,1,Urban,0,Phone,No Offer,0,0.8094515893181979
4,300.58,0,1,Surburban,1,Web,Buy One Get One,0,0.7744143769759423
10,62.63,0,1,Surburban,1,Phone,Discount,0,0.5520608545040229
10,357.28,0,1,Surburban,0,Web,Buy One Get One,0,1.0070406550642494
5,283.55,1,0,Urban,1,Phone,No Offer,0,1.6376430320942355
